author,filename,folder_names
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionLogAlarm.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionRemote.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionsGroup.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/BaseConfig.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/FatalHandler.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/IInitializable.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/InitializableBase.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/ManagerLoader.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/MethodInvoker.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/ProductInfoDummy.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/ProductInfoFactory.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/ProductInfoMgr.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/config/ResourceLoader.java,PlantVisorPRO/src/com/carel/supervisor/base/config
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/conversion/StringUtility.java,PlantVisorPRO/src/com/carel/supervisor/base/conversion
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/DumpWriter.java,PlantVisorPRO/src/com/carel/supervisor/base/dump
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/DumperMgr.java,PlantVisorPRO/src/com/carel/supervisor/base/dump
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/IDumpable.java,PlantVisorPRO/src/com/carel/supervisor/base/dump
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/IDumperFactory.java,PlantVisorPRO/src/com/carel/supervisor/base/dump
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/IDumperObject.java,PlantVisorPRO/src/com/carel/supervisor/base/dump
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry/DumperArray.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry/DumperDumpable.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry/DumperIXMLNode.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry/DumperList.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry/DumperMap.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry/DumperObject.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/registry
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/xml/DumperXMLFactory.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/xml
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/xml/XMLDumpWriter.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/xml
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/xmldata/DumperXMLDataFactory.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/xmldata
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/dump/xmldata/XMLDataDumpWriter.java,PlantVisorPRO/src/com/carel/supervisor/base/dump/xmldata
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/excel/BodyTable.java,PlantVisorPRO/src/com/carel/supervisor/base/excel
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/excel/DataExcel.java,PlantVisorPRO/src/com/carel/supervisor/base/excel
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/excel/Export2Excel.java,PlantVisorPRO/src/com/carel/supervisor/base/excel
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/excel/TitlePage.java,PlantVisorPRO/src/com/carel/supervisor/base/excel
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/excel/TitleTable.java,PlantVisorPRO/src/com/carel/supervisor/base/excel
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/factory/FactoryObject.java,PlantVisorPRO/src/com/carel/supervisor/base/factory
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/BufferFileWriter.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/IReaderPrinted.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/SimplePrinter.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/SimplePrinterReader.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/SimpleReader.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/SimpleWriter.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/SocketComm.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/io/Zipper.java,PlantVisorPRO/src/com/carel/supervisor/base/io
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/log/Logger.java,PlantVisorPRO/src/com/carel/supervisor/base/log
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/log/LoggerDumpable.java,PlantVisorPRO/src/com/carel/supervisor/base/log
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/log/LoggerMgr.java,PlantVisorPRO/src/com/carel/supervisor/base/log
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/math/BigEndian.java,PlantVisorPRO/src/com/carel/supervisor/base/math
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/math/BitManipulation.java,PlantVisorPRO/src/com/carel/supervisor/base/math
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/math/FactorEndian.java,PlantVisorPRO/src/com/carel/supervisor/base/math
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/math/LittleEndian.java,PlantVisorPRO/src/com/carel/supervisor/base/math
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/PrinterMgr.java,PlantVisorPRO/src/com/carel/supervisor/base/printer
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/IFactoryTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/IFactoryTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/TemplateMgr.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/BaseTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/CellTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/DefaultCell.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/FactoryImageTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/FactoryListTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/FactoryTableTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/FactoryTemplateTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/FactoryTextTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/ImageTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/ListTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/OptionTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/PageEvent.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/TableTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/TemplateTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/TexSonsTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl/TexTemplate.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/BaseTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/CellTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/DefaultCellHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/FactoryImageTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/FactoryListTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/FactoryTableTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/FactoryTemplateTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/FactoryTextTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/ImageTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/ListTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/OptionTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/TableTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/TemplateTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/TexSonsTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML/TexTemplateHTML.java,PlantVisorPRO/src/com/carel/supervisor/base/printer/template/implHTML
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/profiling/IProfiler.java,PlantVisorPRO/src/com/carel/supervisor/base/profiling
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/profiling/ProfilingMgr.java,PlantVisorPRO/src/com/carel/supervisor/base/profiling
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/profiling/UserCredential.java,PlantVisorPRO/src/com/carel/supervisor/base/profiling
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/profiling/UserProfile.java,PlantVisorPRO/src/com/carel/supervisor/base/profiling
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/profiling/impl/DummyProfiler.java,PlantVisorPRO/src/com/carel/supervisor/base/profiling/impl
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/base/profiling/impl/XMLProfiler.java,PlantVisorPRO/src/com/carel/supervisor/base/profiling/impl
