"","sender_id","receiver_name"
"706","fabio.boldrin",66730
"707","fabio.boldrin",70363
"708",NA,7409
"709",NA,14907
"710",NA,15330
"711",NA,27095
"712",NA,36927
"713",NA,39906
"714",NA,43748
"715",NA,45250
"716",NA,57464
"717",NA,58806
"718",NA,70539
"719",NA,96729
"720",NA,122539
"721",NA,122744
"722",NA,56042
"723",NA,123251
"724",NA,80318
"725",NA,36927
"726",NA,38899
"727",NA,101481
"728",NA,102914
"729",NA,103498
"730",NA,117652
"731",NA,122539
"732",NA,6053
"733",NA,27037
"734",NA,30798
"735",NA,74294
"736","fabio.boldrin",30765
"737","fabio.boldrin",30810
"738","fabio.boldrin",43092
"739","fabio.boldrin",43748
"740","fabio.boldrin",62840
"741","fabio.boldrin",65731
"742","fabio.boldrin",69970
"743","fabio.boldrin",70539
"744","fabio.boldrin",78364
"745","fabio.boldrin",96729
"746","fabio.boldrin",103595
"747","fabio.boldrin",112286
"748","fabio.boldrin",124217
"749",NA,8158
"750",NA,77728
"751",NA,15330
"752",NA,58309
"753",NA,73922
"754",NA,107103
"755",NA,122539
"756",NA,126462
"757",NA,14414
"758",NA,22262
"759",NA,38712
"760",NA,41423
"761",NA,64872
"762",NA,76637
"763",NA,102298
"764",NA,107463
"765",NA,126295
"766",NA,56208
"767",NA,123113
"768",NA,39739
"769",NA,43059
"770",NA,65865
"771",NA,77451
"772",NA,36927
"773",NA,41130
"774",NA,81991
"775",NA,105529
"776",NA,111492
"777",NA,122539
"778",NA,39551
"779",NA,105409
"780",NA,105529
"781",NA,19426
"782",NA,65430
"783",NA,3642
"784",NA,8009
"785",NA,60336
"786",NA,135822
"787",NA,27994
"788",NA,58806
"789",NA,74737
"790",NA,43748
"791",NA,76647
"792",NA,110765
"793",NA,115874
"794",NA,118933
"795",NA,119002
"796",NA,122944
"797",NA,36927
"798",NA,47809
"799",NA,58042
"800",NA,68195
"801",NA,92833
"802",NA,122539
"803",NA,15330
"804",NA,58806
"805",NA,39368
"806",NA,52616
"807","fabio.boldrin",12186
"808",NA,28310
"809",NA,36927
"810",NA,68195
"811",NA,85053
"812",NA,92833
"813",NA,122539
"814",NA,134870
"815",NA,56603
"816",NA,58806
"817",NA,46929
"818","kevin.ge",106388
"819","kevin.ge",134760
"820","alberto.baldan",22908
"821","alberto.baldan",54003
"822","alberto.baldan",56585
"823","alberto.baldan",77364
"824","fabio.boldrin",2276
"825","fabio.boldrin",2360
"826","fabio.boldrin",7623
"827","fabio.boldrin",7624
"828","fabio.boldrin",7625
"829","fabio.boldrin",15595
"830","fabio.boldrin",49967
"831","fabio.boldrin",80958
"832","fabio.boldrin",120025
"833","fabio.boldrin",2276
"834","fabio.boldrin",123578
"835","fabio.boldrin",2276
"836","fabio.boldrin",2359
"837","fabio.boldrin",2360
"838","fabio.boldrin",26281
"839","fabio.boldrin",51455
"840","fabio.boldrin",109508
"841","fabio.boldrin",114605
"842","fabio.boldrin",2274
"843","fabio.boldrin",2276
"844","fabio.boldrin",18073
"845","fabio.boldrin",26281
"846","fabio.boldrin",83292
"847",NA,7409
"848",NA,15330
"849",NA,24105
"850",NA,31287
"851",NA,36927
"852",NA,41894
"853",NA,54997
"854",NA,58806
"855",NA,67428
"856",NA,70539
"857",NA,80507
"858",NA,84291
"859",NA,96729
"860",NA,99112
"861",NA,115874
"862",NA,117889
"863",NA,122539
"864",NA,27594
"865",NA,29258
"866",NA,36859
"867",NA,58856
"868",NA,93602
"869",NA,103307
"870",NA,111377
"871",NA,131270
"872",NA,105409
"873",NA,105529
"874",NA,110867
"875",NA,123766
"876",NA,64454
"877",NA,39368
"878",NA,52616
"879",NA,3642
"880",NA,60336
"881",NA,1069
"882",NA,2088
"883",NA,8027
"884",NA,8028
"885",NA,12336
"886",NA,39838
"887",NA,44163
"888",NA,126464
"889",NA,135281
"890",NA,1069
"891",NA,8028
"892",NA,20612
"893",NA,39838
"894",NA,53385
"895",NA,102041
"896",NA,12070
"897",NA,45182
"898",NA,56042
"899",NA,76692
